Region:, Group 1: medtr,Other, Total
217:2,0,3,3
217:3,0,1,1
217:4,0,1,1
217:5,0,1,1
218:0,0,107,107
218:1,0,81,81
219:0,0,107,107
219:1,0,61,61
220:0,0,3,3
221:2,0,1,1
